============================================================
HLC AUTORESEARCH EVALUATION (v2 — byte-based, gap-penalized)
============================================================

── Train (210 samples) ──
  Sample                         Orig   Comp   Ratio   Recon
  medical_145                     441      1   99.8%  100.0%
  ai_conversation_146             374      2   99.5%  100.0%
  business_147                    372      2   99.5%  100.0%
  email_148                       376      2   99.5%  100.0%
  email_149                       368      2   99.5%  100.0%
  conversational_ai_150           381      2   99.5%  100.0%
  email_151                       401      2   99.5%  100.0%
  creative_152                    406      2   99.5%  100.0%
  journalism_153                  422      2   99.5%  100.0%
  journalism_154                  481      1   99.8%  100.0%
  conversational_ai_155           415      2   99.5%  100.0%
  email_156                       383      2   99.5%  100.0%
  legal_157                       415      2   99.5%  100.0%
  journalism_158                  403      2   99.5%  100.0%
  marketing_159                   405      2   99.5%  100.0%
  marketing_160                   374      2   99.5%  100.0%
  conversational_ai_161           390      2   99.5%  100.0%
  technical_162                   351      2   99.4%  100.0%
  academic_163                    406      2   99.5%  100.0%
  support_164                     413      2   99.5%  100.0%
  business_165                    386      2   99.5%  100.0%
  email_166                       356      2   99.4%  100.0%
  email_167                       406      2   99.5%  100.0%
  technical_168                   349      2   99.4%  100.0%
  conversational_ai_169           399      2   99.5%  100.0%
  documentation_170               387      2   99.5%  100.0%
  marketing_171                   397      2   99.5%  100.0%
  support_172                     397      2   99.5%  100.0%
  medical_173                     444      1   99.8%  100.0%
  business_174                    335      2   99.4%  100.0%
  academic_175                    411      2   99.5%  100.0%
  conversational_ai_176           423      2   99.5%  100.0%
  medical_177                     439      1   99.8%  100.0%
  technical_178                   386      2   99.5%  100.0%
  journalism_179                  432      1   99.8%  100.0%
  journalism_180                  452      1   99.8%  100.0%
  marketing_181                   394      2   99.5%  100.0%
  conversational_ai_182           362      2   99.4%  100.0%
  legal_183                       410      2   99.5%  100.0%
  technical_184                   361      2   99.4%  100.0%
  academic_185                    423      2   99.5%  100.0%
  email_186                       366      2   99.5%  100.0%
  email_187                       354      2   99.4%  100.0%
  casual_188                      297      2   99.3%  100.0%
  academic_189                    424      2   99.5%  100.0%
  support_190                     378      2   99.5%  100.0%
  business_191                    384      2   99.5%  100.0%
  journalism_192                  411      2   99.5%  100.0%
  creative_193                    392      2   99.5%  100.0%
  business_194                    396      2   99.5%  100.0%
  ai_conversation_195             401      2   99.5%  100.0%
  creative_196                    386      2   99.5%  100.0%
  legal_197                       421      2   99.5%  100.0%
  academic_198                    432      1   99.8%  100.0%
  medical_199                     451      1   99.8%  100.0%
  creative_200                    368      2   99.5%  100.0%
  legal_201                       444      1   99.8%  100.0%
  creative_202                    378      2   99.5%  100.0%
  medical_203                     436      1   99.8%  100.0%
  marketing_204                   422      2   99.5%  100.0%
  creative_205                    341      2   99.4%  100.0%
  marketing_206                   388      2   99.5%  100.0%
  creative_207                    386      2   99.5%  100.0%
  instructional_208               395      2   99.5%  100.0%
  ai_conversation_209             392      2   99.5%  100.0%

  Byte compression: 99.5%
  Reconstruction:   100.0%
  Train subscore:   99.71

── Validation (45 samples) ──
  Sample                         Orig   Comp   Ratio   Recon
  ---------------------------- ------ ------ ------- -------
  documentation_0                 392      1   99.7%  100.0%
  casual_1                        305      1   99.7%  100.0%
  ai_conversation_2               401      1   99.8%  100.0%
  medical_3                       451      1   99.8%  100.0%
  journalism_4                    375      1   99.7%  100.0%
  instructional_5                 413      1   99.8%  100.0%
  marketing_6                     386      1   99.7%  100.0%
  journalism_7                    418      1   99.8%  100.0%
  support_8                       340      1   99.7%  100.0%
  medical_9                       409      1   99.8%  100.0%
  ai_conversation_10              408      1   99.8%  100.0%
  marketing_11                    418      1   99.8%  100.0%
  business_12                     391      1   99.7%  100.0%
  creative_13                     376      1   99.7%  100.0%
  conversational_ai_14            422      1   99.8%  100.0%
  instructional_15                404      1   99.8%  100.0%
  academic_16                     372      1   99.7%  100.0%
  casual_17                       336      1   99.7%  100.0%
  academic_18                     406      1   99.8%  100.0%
  email_19                        390      1   99.7%  100.0%
  email_20                        396      1   99.7%  100.0%
  journalism_21                   387      1   99.7%  100.0%
  creative_22                     374      1   99.7%  100.0%
  legal_23                        469      1   99.8%  100.0%
  documentation_24                390      1   99.7%  100.0%
  support_25                      370      1   99.7%  100.0%
  documentation_26                370      1   99.7%  100.0%
  business_27                     372      1   99.7%  100.0%
  legal_28                        413      1   99.8%  100.0%
  ai_conversation_29              409      1   99.8%  100.0%
  conversational_ai_30            377      1   99.7%  100.0%
  email_31                        372      1   99.7%  100.0%
  creative_32                     363      1   99.7%  100.0%
  medical_33                      424      1   99.8%  100.0%
  business_34                     404      1   99.8%  100.0%
  instructional_35                362      1   99.7%  100.0%
  technical_36                    333      1   99.7%  100.0%
  conversational_ai_37            377      1   99.7%  100.0%
  support_38                      400      1   99.8%  100.0%
  academic_39                     422      1   99.8%  100.0%
  technical_40                    333      1   99.7%  100.0%
  casual_41                       290      1   99.7%  100.0%
  legal_42                        409      1   99.8%  100.0%
  marketing_43                    378      1   99.7%  100.0%
  technical_44                    374      1   99.7%  100.0%

  Byte compression: 99.7%
  Reconstruction:   100.0%
  Val subscore:     99.84

── Aggregate ──
  Train/val gap:    0.13 points ✓ (under 8.0 threshold)
  Phrase hits:      26478
  Symbol hits:      10982
  SYMBOL_MAP:       4173 entries
  PHRASE_CODEBOOK:  34371 entries

  ═══════════════════════════
  COMPOSITE SCORE: 99.78
  ═══════════════════════════
